FIRST NAME,LAST NAME,SEASON,GENDER,SPORT,EVENT/POSITION/CLASS,OLYMPIC EXPERIENCE,HEIGHT,WEIGHT,DOB,HOMETOWN CITY,LAT,LONG,HOMETOWN STATE,STATE ABR
Nick,Lucena,Summer,M,Beach Volleyball,Beach,none,"6'1""",185,9/22/79,Cooper City,26.0463,-80.2862,Fla.,FL
Casey,Patterson,Summer,M,Beach Volleyball,Beach,none,6-6,195,4/20/80,Newbury Park,#N/A,#N/A,Calif.,CA
Lauren,Fendrick,Summer,F,Beach Volleyball,Beach,none,"6'1""",166,3/20/82,Carlsbad,33.1247,-117.2837,Calif.,CA
April,Ross,Summer,F,Beach Volleyball,Beach,2012-S,"6'1""",165,6/20/82,Costa Mesa,33.6667,-117.9135,Calif.,CA
Brooke,Sweat,Summer,F,Beach Volleyball,Beach,none,"5'8""",154,3/27/86,Estero,26.4277,-81.7951,Fla.,FL
Kerri,Walsh Jennings,Summer,F,Beach Volleyball,Beach,2000; 2004-G; 2008-G; 2012-G,"6'3""",160,8/15/78,Saratoga,37.2684,-122.0263,Calif.,CA
Tony,Azevedo,Summer,M,Water Polo,Attacker,2000; 2004; 2008-S; 2012,"6'1""",198,11/21/81,Long Beach,33.7981,-118.1675,Calif.,CA
McQuin,Baron,Summer,M,Water Polo,Goalkeeper,none,"6'8""",205,10/27/95,North Tustin,33.7644,-117.7945,Calif.,CA
Bret,Bonanni,Summer,M,Water Polo,Attacker,none,"6'4""",205,1/20/94,Huntington Beach,33.696,-118.0025,Calif.,CA
Alex,Bowen,Summer,M,Water Polo,Attacker,none,"6'5""",220,9/4/93,Santee,32.8554,-116.9851,Calif.,CA
Luca,Cupido,Summer,M,Water Polo,Attacker,none,"6'4""",210,11/9/95,Newport Beach,33.6151,-117.8669,Calif.,CA
Thomas,Dunstan,Summer,M,Water Polo,Attacker (L),none,"6'3.5""",200,9/29/97,New Canaan,#N/A,#N/A,Conn.,CT
Ben,Hallock,Summer,M,Water Polo,Center,none,"6'6""",235,11/22/97,Westlake Village,34.1369,-118.822,Calif.,CA
John,Mann,Summer,M,Water Polo,Center,2012,"6'6""",250,6/27/85,Newport Beach,33.6151,-117.8669,Calif.,CA
Merrill,Moses,Summer,M,Water Polo,Goalkeeper,2008-S; 2012,"6'3""",215,8/13/77,Newbury Park,#N/A,#N/A,Calif.,CA
Alex,Obert,Summer,M,Water Polo,Center,none,"6'5""",233,12/18/91,Loomis,38.8093,-121.1955,Calif.,CA
Alex,Roelse,Summer,M,Water Polo,Defender,none,"6'8""",255,1/10/95,Westwoods,40.3049,-121.0045,Calif.,CA
Josh,Samuels,Summer,M,Water Polo,Attacker,none,"6'4""",210,7/8/91,Villa Park,41.8864,-87.9779,Calif.,CA
Jesse,Smith,Summer,M,Water Polo,Defender,"2004: 2008-S, 2012","6'4""",233,4/27/83,Coronado,32.664,-117.16,Calif.,CA
KK,Clark,Summer,F,Water Polo,Defender,none,"6'2""",160,6/28/90,Atherton,37.4539,-122.2032,Calif.,CA
Kami,Craig,Summer,F,Water Polo,Center,2008-S; 2012-G,"5'11""",195,7/21/87,Santa Barbara,34.4285,-119.7202,Calif.,CA
Rachel,Fattal,Summer,F,Water Polo,Attacker,none,"5'8""",145,12/10/93,Seal Beach,33.7542,-118.0714,Calif.,CA
Aria,Fischer,Summer,F,Water Polo,Attacker,none,"6'0""",173,3/2/99,Laguna Beach,33.5448,-117.7612,Calif.,CA
Makenzie,Fischer,Summer,F,Water Polo,Defender,none,"6'1""",165,3/29/97,Laguna Beach,33.5448,-117.7612,Calif.,CA
Kaleigh,Gilchrist,Summer,F,Water Polo,Attacker,none,"5'9""",170,5/16/92,Newport Beach,33.6151,-117.8669,Calif. ,CA
Sami,Hill,Summer,F,Water Polo,Goalkeeper,none,"6'0""",197,6/8/92,Santa Barbara,34.4285,-119.7202,Calif. ,CA
Ashleigh,Johnson,Summer,F,Water Polo,Goalkeeper,none,"6'1""",180,9/12/94,Miami,25.7839,-80.2102,Fla.,FL
Courtney,Mathewson,Summer,F,Water Polo,Attacker,2012-G,"5'7""",154,9/14/86,Anaheim,33.839,-117.8572,Calif.,CA
Maddie,Musselman,Summer,F,Water Polo,Attacker,none,"5'11""",145,6/16/98,Newport Beach,33.6151,-117.8669,Calif.,CA
Kiley,Neushul,Summer,F,Water Polo,Attacker,none,"5'8""",145,3/5/93,Isla Vista,34.4144,-119.8581,Calif. ,CA
Melissa,Seidemann,Summer,F,Water Polo,Defender,2012-G,"6'0""",230,6/26/90,Walnut Creek,37.9024,-122.0398,Calif.,CA
Maggie,Steffens,Summer,F,Water Polo,Defender,2012-G,"5'8""",165,6/4/93,Danville,40.1423,-87.6114,Calif. ,CA
Jenny,Arthur,Summer,F,Weightlifting,69 kg.,None,"5'5""",165,12/11/93,Gainesville,29.6804,-82.3458,Ga.,GA
Kendrick ,Farris,Summer,M,Weightlifting,94 kg.,"2008, 2012","5'6""",207,7/2/86,Shreveport,32.4656,-93.7956,La.,LA
Morghan ,King,Summer,F,Weightlifting,48 kg.,none,"5'0""",110,10/8/85,Redmond,47.6762,-122.1169,Wash. ,WV
Sarah,Robles,Summer,F,Weightlifting, +75 kg.,2012,"5'10""",310,8/1/88,Desert Hot Springs,33.9551,-116.543,Calif.,CA
Andy,Bisek,Summer,M,Wrestling,Greco-Roman 75 kg.,none,"5'10""",180,8/18/86,Chaska,44.8164,-93.6092,Minn.,MN
Jordan,Burroughs,Summer,M,Wrestling,Freestyle 74 kg.,2012-G,"5'7""",175,7/8/88,Sicklerville,#N/A,#N/A,N.J. ,ND
J'den,Cox,Summer,M,Wrestling,Freestyle 86 kg.,none,"5'11""",189,3/3/95,Columbia,34.0376,-80.9037,Mo. ,MO
Daniel,Dennis,Summer,M,Wrestling,Freestyle 57 kg.,none,"5'5""",125,9/24/86,Ingleside,27.87,-97.2077,Ill.,IL
Tervel,Dlagnev,Summer,M,Wrestling,Freestyle 125 kg.,2012,"6'2""",270,11/19/85,Columbus,39.9862,-82.985,Ohio,OH
Frank,Molinaro,Summer,M,Wrestling,Freestyle 65 kg.,none,"5'4""",155,12/27/88,Barnegat,39.753,-74.1095,N.J. ,NJ
Ben,Provisor,Summer,M,Wrestling,Greco-Roman 85 kg.,2012,"5'8""",195,6/26/90,Colorado Springs,38.8674,-104.7606,Colo. ,CO
Robby,Smith,Summer,M,Wrestling,Greco-Roman 130 kg.,none,"6'0""",280,1/30/87,San Ramon,37.7625,-121.9365,Calif. ,CA
Kyle,Snyder,Summer,M,Wrestling,Freestyle 97 kg.,none,"5'11""",225,11/20/95,Woodbine,39.2283,-74.8096,Md. ,MD
Jesse,Thielke,Summer,M,Wrestling,Greco-Roman 59 kg.,none,"5'7""",150,6/9/92,Germantown,39.1755,-77.2643,Wis.,WI
Haley,Augello,Summer,F,Wrestling,Freestyle 48 kg.,none,"5'2""",118,10/17/94,Lockport,43.1698,-78.6956,Ill.,IL
Adeline,Gray,Summer,F,Wrestling,Freestyle 75 kg.,none,"5'8""",170,1/15/91,Denver,39.7621,-104.8759,Colo. ,CO
Helen,Maroulis,Summer,F,Wrestling,Freestyle 53 kg.,none,"5'4""",125,9/19/91,Rocky Point,40.9357,-72.9364,Md.,MD
Elena,Pirozhkova,Summer,F,Wrestling,Freestyle 63 kg.,2012,"5'6""",158,10/13/86,Greenfield,42.9619,-88.0051,Mass.,MA
